Report Info,,,,,,,,,,
Queue:,"AWARE,Community Response,Crisis Eng,Crisis Eng PRIORITY,",,,,,,,,,
06:00 - 06:59,1346,1043,288,15,78.60%,21.40%,0:08:49,0:00:45,2922,4539
07:00 - 07:59,1586,1156,407,23,74.34%,25.66%,0:09:21,0:00:54,1462,807
08:00 - 08:59,2123,1494,572,57,73.06%,26.94%,0:10:26,0:00:49,1327,1202
09:00 - 09:59,2136,1586,496,54,76.78%,23.22%,0:09:02,0:00:45,1567,1464
10:00 - 10:59,2481,1860,593,28,76.10%,23.90%,0:08:32,0:00:45,2207,1845
11:00 - 11:59,2656,1972,651,33,75.49%,24.51%,0:08:16,0:00:46,1958,1254
12:00 - 12:59,2586,1910,636,40,75.41%,24.59%,0:08:29,0:00:48,1205,1283
13:00 - 13:59,2449,1901,519,29,78.81%,21.19%,0:08:16,0:00:48,2623,2024
14:00 - 14:59,2615,2005,592,18,77.36%,22.64%,0:08:27,0:00:50,1443,2675
15:00 - 15:59,2837,2054,756,27,73.35%,26.65%,0:08:32,0:00:52,1149,1148
16:00 - 16:59,2948,2022,888,38,69.88%,30.12%,0:09:07,0:01:01,2885,1470
17:00 - 17:59,3764,2727,932,105,75.24%,24.76%,0:08:05,0:00:45,2686,2649
18:00 - 18:59,3752,2637,1022,93,72.76%,27.24%,0:09:05,0:00:56,2285,1732
19:00 - 19:59,3349,2298,971,80,71.01%,28.99%,0:09:56,0:01:07,885,1437
20:00 - 20:59,3093,1928,1094,71,64.63%,35.37%,0:10:34,0:01:15,584,2011
21:00 - 21:59,2754,1610,1091,53,60.38%,39.62%,0:11:19,0:01:33,1569,1541
22:00 - 22:59,2445,1452,961,32,60.70%,39.30%,0:10:41,0:01:37,4886,4925
23:00 - 23:59,1943,1187,738,18,62.02%,37.98%,0:10:05,0:01:27,687,589
,,,,,,,,,,
go up   Call Distribution per day of week,,,,,,,,,,
  space,,,,,,,,,,
Day,Received,Answered,Unanswered,Transfers,% Answ,% Unansw,Avg Durat.,Avg Wait,Logins,Logoff
Sunday,7729,4656,3003,70,61.15%,38.85%,0:10:09,0:01:25,4966,4747
Monday,7866,5817,1919,130,75.60%,24.40%,0:08:49,0:00:52,5873,5913
Tuesday,7763,5621,2013,129,74.07%,25.93%,0:09:12,0:01:00,5803,5704
Wednesday,7576,5746,1679,151,77.84%,22.16%,0:08:51,0:00:52,5978,5816
Thursday,7599,5735,1688,176,77.79%,22.21%,0:08:41,0:00:51,6189,6234
Friday,7567,5206,2229,132,70.54%,29.46%,0:09:05,0:01:02,5111,5433
Saturday,7875,4255,3525,95,55.24%,44.76%,0:10:31,0:01:33,3651,3687
,,,,,,,,,,
go up   Service Level,,,,,,,,,,
  space,,,,,,,,,,
Answer,Count,Delta,%,,,,,,,
Within 15 secs,27645 calls,27645,72.91%,,,,,,,
Within 30 secs,32077 calls,4432,84.59%,,,,,,,
Within 45 secs,33423 calls,1346,88.14%,,,,,,,
Within 60 secs,34160 calls,737,90.09%,,,,,,,
Within 75 secs,34615 calls,455,91.29%,,,,,,,
Within 90 secs,34985 calls,370,92.26%,,,,,,,
Within 105 secs,35301 calls,316,93.10%,,,,,,,
Within 120 secs,35550 calls,249,93.75%,,,,,,,
Within 135 secs,35676 calls,126,94.08%,,,,,,,
Within 150+ secs,37919 calls,2243,100.00%,,,,,,,
,,,,,,,,,,
go up   Abandon Rate,,,,,,,,,,
  space,,,,,,,,,,
Unanswer,Count,Delta,%,,,,,,,
Within 15 secs,239 calls,239,1.49%,,,,,,,
Within 30 secs,1708 calls,1469,10.64%,,,,,,,
Within 45 secs,3549 calls,1841,22.10%,,,,,,,
Within 60 secs,7591 calls,4042,47.28%,,,,,,,
Within 75 secs,9167 calls,1576,57.09%,,,,,,,
Within 90 secs,9823 calls,656,61.18%,,,,,,,
Within 105 secs,10303 calls,480,64.17%,,,,,,,
Within 120 secs,10741 calls,438,66.90%,,,,,,,
Within 135 secs,11422 calls,681,71.14%,,,,,,,
Within 150+ secs,16056 calls,4634,100.00%,,,,,,,
