Report Info,,,,,,,,,,
Queue:,"AWARE,Community Response,Crisis Eng,Crisis Eng PRIORITY,",,,,,,,,,
Saturday,6711,3683,2890,138,56.94%,43.06%,0:09:54,0:01:25,3718,3635
,,,,,,,,,,
go up   Answered Calls by Queue,,,,,,,,,,
  space,,,,,,,,,,
Queue,Count,%,,,,,,,,
AWARE,8 calls,0.03%,,,,,,,,
Crisis Eng,15281 calls,53.65%,,,,,,,,
Crisis Eng PRIORITY,2070 calls,7.27%,,,,,,,,
Crisis Spanish,107 calls,0.38%,,,,,,,,
Crisis Spanish PRIORITY,13 calls,0.05%,,,,,,,,
Lifeline,3542 calls,12.44%,,,,,,,,
MHART,75 calls,0.26%,,,,,,,,
REDLINE,6422 calls,22.55%,,,,,,,,
Referral Line,888 calls,3.12%,,,,,,,,
SAMHSA,77 calls,0.27%,,,,,,,,
,,,,,,,,,,
go up   Service Level,,,,,,,,,,
  space,,,,,,,,,,
Answer,Count,Delta,%,,,,,,,
Within 15 secs,21405 calls,21405,72.66%,,,,,,,
Within 30 secs,25052 calls,3647,85.04%,,,,,,,
Within 45 secs,26068 calls,1016,88.49%,,,,,,,
Within 60 secs,26734 calls,666,90.75%,,,,,,,
Within 75 secs,27090 calls,356,91.96%,,,,,,,
Within 90 secs,27310 calls,220,92.71%,,,,,,,
Within 105 secs,27492 calls,182,93.32%,,,,,,,
Within 120 secs,27677 calls,185,93.95%,,,,,,,
Within 135 secs,27722 calls,45,94.10%,,,,,,,
Within 150+ secs,29459 calls,1737,100.00%,,,,,,,
,,,,,,,,,,
go up   Abandon Rate,,,,,,,,,,
  space,,,,,,,,,,
Unanswer,Count,Delta,%,,,,,,,
Within 15 secs,432 calls,432,2.65%,,,,,,,
Within 30 secs,2012 calls,1580,12.33%,,,,,,,
Within 45 secs,3656 calls,1644,22.41%,,,,,,,
Within 60 secs,8659 calls,5003,53.08%,,,,,,,
Within 75 secs,11113 calls,2454,68.12%,,,,,,,
Within 90 secs,11637 calls,524,71.34%,,,,,,,
Within 105 secs,12062 calls,425,73.94%,,,,,,,
Within 120 secs,12403 calls,341,76.03%,,,,,,,
Within 135 secs,12981 calls,578,79.57%,,,,,,,
Within 150+ secs,16313 calls,3332,100.00%,,,,,,,
